time	V(h)	V(vin)
9.593657031797778e-003	5.866540e-002	1.000000e+000
9.701078906797778e-003	6.313610e-002	1.000000e+000
9.808500781797779e-003	6.682803e-002	1.000000e+000
9.915922656797778e-003	6.974120e-002	1.000000e+000
1.002334453179778e-002	7.187560e-002	1.000000e+000
1.013076640679778e-002	7.323124e-002	1.000000e+000
1.023818828179778e-002	7.380812e-002	1.000000e+000
1.035049296929778e-002	7.346635e-002	1.000000e+000
1.046279765679778e-002	7.242376e-002	1.000000e+000
1.057510234429778e-002	7.068034e-002	1.000000e+000
1.068740703179778e-002	6.823609e-002	1.000000e+000
1.079971171929778e-002	6.509102e-002	1.000000e+000
1.091201640679778e-002	6.124512e-002	1.000000e+000
1.102432109429778e-002	5.669840e-002	1.000000e+000
1.110732890679778e-002	5.303495e-002	1.000000e+000
1.119033671929778e-002	4.919970e-002	1.000000e+000
1.127334453179778e-002	4.519264e-002	1.000000e+000
1.135635234429779e-002	4.101378e-002	1.000000e+000
1.143936015679779e-002	3.666311e-002	1.000000e+000
1.152236796929779e-002	3.214063e-002	1.000000e+000
1.160537578179779e-002	2.744634e-002	1.000000e+000
1.166396953179779e-002	2.411812e-002	1.000000e+000
1.172256328179779e-002	2.079315e-002	1.000000e+000
1.178115703179779e-002	1.747142e-002	1.000000e+000
1.183975078179779e-002	1.415293e-002	1.000000e+000
1.189834453179779e-002	1.083769e-002	1.000000e+000
1.195693828179779e-002	7.525689e-003	1.000000e+000
1.201553203179779e-002	4.216933e-003	1.000000e+000
1.208389140679779e-002	4.347441e-004	1.000000e+000
1.215225078179779e-002	-3.281128e-003	1.000000e+000
1.225478984429779e-002	-8.699685e-003	1.000000e+000
1.235732890679779e-002	-1.389182e-002	1.000000e+000
1.245986796929779e-002	-1.881544e-002	1.000000e+000
1.256240703179779e-002	-2.343209e-002	1.000000e+000
1.266494609429779e-002	-2.770719e-002	1.000000e+000
1.276748515679779e-002	-3.161025e-002	1.000000e+000
1.288955546929779e-002	-3.576837e-002	1.000000e+000
1.301162578179779e-002	-3.928517e-002	1.000000e+000
1.313369609429779e-002	-4.216065e-002	1.000000e+000
1.325576640679779e-002	-4.439483e-002	1.000000e+000
1.337783671929779e-002	-4.598769e-002	1.000000e+000
1.349990703179779e-002	-4.693924e-002	1.000000e+000
1.362197734429779e-002	-4.724948e-002	1.000000e+000
1.373428203179779e-002	-4.689001e-002	1.000000e+000
1.384658671929779e-002	-4.608952e-002	1.000000e+000
1.395889140679779e-002	-4.484802e-002	1.000000e+000
1.407119609429780e-002	-4.316551e-002	1.000000e+000
1.418350078179780e-002	-4.104199e-002	1.000000e+000
1.429580546929780e-002	-3.847745e-002	1.000000e+000
1.440811015679780e-002	-3.547190e-002	1.000000e+000
1.449111796929780e-002	-3.306526e-002	1.000000e+000
1.457412578179780e-002	-3.055528e-002	1.000000e+000
1.465713359429780e-002	-2.794193e-002	1.000000e+000
1.474014140679780e-002	-2.522524e-002	1.000000e+000
1.482314921929780e-002	-2.240519e-002	1.000000e+000
1.490615703179780e-002	-1.948179e-002	1.000000e+000
1.498916484429780e-002	-1.645504e-002	1.000000e+000
1.504775859429780e-002	-1.431353e-002	1.000000e+000
1.510635234429780e-002	-1.217738e-002	1.000000e+000
1.516494609429780e-002	-1.004658e-002	1.000000e+000
1.522353984429780e-002	-7.921135e-003	1.000000e+000
1.528213359429780e-002	-5.801039e-003	1.000000e+000
1.534072734429780e-002	-3.686294e-003	1.000000e+000
1.539932109429780e-002	-1.576901e-003	1.000000e+000
1.550186015679780e-002	2.017181e-003	1.000000e+000
1.560439921929780e-002	5.496589e-003	1.000000e+000
1.570693828179780e-002	8.832131e-003	1.000000e+000
1.580947734429780e-002	1.199673e-002	1.000000e+000
1.591201640679780e-002	1.496563e-002	1.000000e+000
1.604385234429780e-002	1.851287e-002	1.000000e+000
1.617568828179780e-002	2.159865e-002	1.000000e+000
1.630752421929780e-002	2.422296e-002	1.000000e+000
1.643936015679780e-002	2.638581e-002	1.000000e+000
1.657119609429781e-002	2.808719e-002	1.000000e+000
1.670303203179780e-002	2.932711e-002	1.000000e+000
1.683486796929781e-002	3.010556e-002	1.000000e+000
1.695693828179781e-002	3.030741e-002	1.000000e+000
1.707900859429781e-002	3.015396e-002	1.000000e+000
1.720107890679781e-002	2.964521e-002	1.000000e+000
